gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
61147,20001231,2000,INDL,C,D,STD,WFSI,USD,I,4020,402020,40,40202010
61148,20001231,2000,INDL,C,D,STD,CADV,USD,I,3510,351020,35,35102015
61150,20001231,2000,INDL,C,D,STD,ADSV,USD,A,2020,202010,20,20201060
61151,20001231,2000,INDL,C,D,STD,OO,USD,I,2520,252020,25,25202010
61153,20001231,2000,INDL,C,D,STD,EAF,USD,A,2010,201040,20,20104010
61154,20001231,2000,INDL,C,D,STD,SONM.1,USD,I,4020,402020,40,40202010
61155,20001231,2000,INDL,C,D,STD,AAWW,USD,A,2030,203010,20,20301010
61158,20000630,2000,INDL,C,D,STD,ENCS,USD,A,2020,202010,20,20201050
61159,20001231,2000,INDL,C,D,STD,NEWZ,USD,I,2020,202010,20,20201030
61162,20000331,1999,INDL,C,D,STD,VTGG,USD,I,4510,451010,45,45101010
61163,20001231,2000,INDL,C,D,STD,SHO,USD,A,6010,601010,60,60101030
61166,20001231,2000,INDL,C,D,STD,4437B,USD,I,3520,352020,35,35202010
61167,20001231,2000,INDL,C,D,STD,3VIONQ,USD,I,3520,352010,35,35201010
61171,20000430,1999,INDL,C,D,STD,CBUK,USD,I,2520,252030,25,25203010
61174,20000731,2000,INDL,C,D,STD,HBPCF,CAD,A,3520,352010,35,35201010
61179,20001231,2000,INDL,C,D,STD,KFRC,USD,A,2020,202020,20,20202010
61181,20001231,2000,INDL,C,D,STD,IART,USD,A,3510,351010,35,35101010
